ID,Summary,Severity,CVSS_Score,CVE_Aliases,CWE_IDs,Ecosystem,Package_Name,Version_Introduced,Version_Fixed,Published,Modified
GHSA-232v-j27c-5pp6,REC in MCPJam inspector due to HTTP Endpoint exposes,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2026-23744,CWE-306,npm,@mcpjam/inspector,0,1.4.3,2026-01-16T21:15:35Z,2026-01-16T21:57:08Z
GHSA-23f4-hfmq-94mj,Quick-Media Batik Codec FIX Package has Buffer Overflow Vulnerability in PNG Codec,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:L/VA:L/SC:N/SI:N/SA:N/S:N/AU:Y/R:U/V:C/RE:M/U:Amber,CVE-2026-24807,CWE-120; CWE-190,Maven,com.github.liuyueyi.media:batik-codec-fix,0,,2026-01-27T09:30:30Z,2026-01-28T15:58:39Z
GHSA-23hh-2f47-3p4h,MineAdmin has Incorrect Privilege Assignment,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,CVE-2026-1193,CWE-266,Packagist,mineadmin/mineadmin,1.0.0,,2026-01-20T00:30:27Z,2026-02-05T22:00:27Z
GHSA-2497-gp99-2m74,Pterodactyl endlessly reprocesses/reuploads activity log data due to SQLite max parameters limit not being considered,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CVE-2026-21696,CWE-400; CWE-770,Go,github.com/pterodactyl/wings,1.7.0,1.12.0,2026-01-20T16:30:54Z,2026-02-02T22:22:03Z
GHSA-253q-9q78-63x4,Clatter has a PSK Validity Rule Violation issue,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N/E:U,CVE-2026-24785,CWE-327,crates.io,clatter,0,2.2.0,2026-01-28T16:21:03Z,2026-01-28T16:21:03Z
GHSA-255j-qw47-wjh5,Craft CMS vulnerable to potential authenticated Remote Code Execution via malicious attached Behavior,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CVE-2025-68455,CWE-470,Packagist,craftcms/cms,5.0.0-RC1,5.8.21,2026-01-05T18:50:14Z,2026-01-06T15:52:18Z
GHSA-25mh-hp8x-cgrv,KubeVirt Guest Agent DoS via Excessive Network Interface Reports,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:L,CVE-2025-14525,CWE-770,Go,kubevirt.io/kubevirt,0,,2026-01-26T21:30:36Z,2026-01-27T21:29:13Z
GHSA-2657-3c98-63jq,esm.sh has a path traversal in extractPackageTarball enables file writes from malicious packages,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:P,CVE-2026-23644,CWE-22,Go,github.com/esm-dev/esm.sh,0.0.1,,2026-01-20T17:21:49Z,2026-02-27T22:06:18Z
GHSA-2733-6c58-pf27,deepHas vulnerable to Prototype Pollution via constructor.prototype,CRITICAL,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,CVE-2026-25047,CWE-1321,npm,deephas,0,1.0.8,2026-01-29T22:21:32Z,2026-02-27T20:45:38Z
GHSA-273p-m2cw-6833,Rekor's COSE v0.0.1 entry type nil pointer dereference in Canonicalize via empty Message,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,CVE-2026-23831,CWE-476,Go,github.com/sigstore/rekor,0,1.5.0,2026-01-22T18:41:23Z,2026-01-23T15:46:17Z
GHSA-2762-657x-v979,AlchemyCMS: Authenticated Remote Code Execution (RCE) via eval injection in ResourcesHelper,MODERATE,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,CVE-2026-23885,CWE-95,RubyGems,alchemy_cms,0,7.4.12,2026-01-21T01:04:32Z,2026-02-02T14:44:59Z
GHSA-2cp6-34r9-54xx,Maker.js has Unsafe Property Copying in makerjs.extendObject,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,CVE-2026-24888,CWE-1321,npm,makerjs,0,0.19.2,2026-01-29T15:18:33Z,2026-01-29T15:18:33Z
GHSA-2g22-wg49-fgv5,XWiki Full Calendar Macro vulnerable to SQL injection through Calendar.JSONService,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,CVE-2025-65091,CWE-89,Maven,org.xwiki.contrib:macro-fullcalendar-pom,0,2.4.5,2026-01-09T18:41:47Z,2026-01-11T14:55:48Z
GHSA-2g59-m95p-pgfq,Chainlit contain a server-side request forgery (SSRF) vulnerability,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,CVE-2026-22219,CWE-918,PyPI,chainlit,0,2.9.4,2026-01-20T00:30:28Z,2026-02-02T22:22:24Z
GHSA-2g5g-hcgh-q3rp,DotNetNuke.Core Vulnerable to Stored XSS in Scheduler LogNotes,HIGH,CVSS:3.1/AV:N/AC:H/PR:H/UI:R/S:C/C:H/I:H/A:H,CVE-2026-24836,CWE-79,NuGet,DotNetNuke.Core,9.0.0,,2026-01-28T16:33:51Z,2026-01-28T16:33:51Z
GHSA-2gqc-6j2q-83qp,RustCrypto Utilities cmov: `thumbv6m-none-eabi` compiler emits non-constant time assembly when using `cmovnz`,HIGH,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:H/SI:N/SA:N,CVE-2026-23519,CWE-203; CWE-208,crates.io,cmov,0,0.4.4,2026-01-15T18:17:15Z,2026-01-23T21:46:10Z
GHSA-2mmv-7rrp-g8xh,Weblate command-line client susceptible to SSL verification skip,LOW,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:C/C:L/I:N/A:N,CVE-2026-22250,CWE-295,PyPI,wlc,0,1.17.0,2026-01-12T16:13:33Z,2026-01-12T20:07:14Z
GHSA-2mq9-hm29-8qch,Label Studio is vulnerable to full account takeover by chaining Stored XSS + IDOR in User Profile via custom_hotkeys field,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,CVE-2026-22033,CWE-285; CWE-79,PyPI,label-studio,0,,2026-01-12T16:12:50Z,2026-01-12T20:06:35Z
GHSA-2mwc-h2mg-v6p8,Bagisto has HTML Filter Bypass that Enables Stored XSS,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:N/VI:N/VA:N/SC:H/SI:H/SA:N/E:P,CVE-2026-21451,CWE-79,Packagist,bagisto/bagisto,0,2.3.10,2026-01-02T21:16:23Z,2026-01-03T00:32:58Z
GHSA-2p49-45hj-7mc9,@backstage/cli-common has a possible `resolveSafeChildPath` Symlink Chain Bypass,MODERATE,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:N/A:N,CVE-2026-24047,CWE-59; CWE-61,npm,@backstage/cli-common,0,0.1.17,2026-01-21T22:40:51Z,2026-01-22T15:41:11Z
GHSA-2pc9-4j83-qjmr,vLLM affected by RCE via auto_map dynamic module loading during model initialization,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CVE-2026-22807,CWE-94,PyPI,vllm,0.10.1,0.14.0,2026-01-21T16:12:54Z,2026-01-22T15:38:33Z
GHSA-2phv-j68v-wwqx,pnpm vulnerable to Command Injection via environment variable substitution,HIGH,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H,CVE-2025-69262,CWE-78; CWE-94,npm,pnpm,6.25.0,10.27.0,2026-01-07T18:51:07Z,2026-01-08T20:07:34Z
GHSA-2q4j-m29v-hq73,pypdf has possible Infinite Loop when processing outlines/bookmarks,MODERATE,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,CVE-2026-24688,CWE-835,PyPI,pypdf,0,6.6.2,2026-01-26T23:37:57Z,2026-01-29T03:39:52Z
GHSA-2vgv-hgv4-22mh,Gitea improperly exposes issue and pull request titles,LOW,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,CVE-2026-20800,CWE-200,Go,github.com/go-gitea/gitea,0,1.25.4,2026-01-23T00:31:16Z,2026-01-23T20:11:50Z
GHSA-2w69-qvjg-hvjx,React Router vulnerable to XSS via Open Redirects,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:N,CVE-2026-22029,CWE-79,npm,react-router,7.0.0,7.12.0,2026-01-08T20:54:18Z,2026-01-11T14:54:13Z
GHSA-333v-68xh-8mmq,RustFS's RPC signature verification logs shared secret,LOW,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:P,CVE-2026-22782,CWE-532,crates.io,rustfs,1.0.0-alpha.1,1.0.0-alpha.80,2026-01-16T15:48:58Z,2026-01-16T19:10:59Z
GHSA-339m-4qw5-j2g3,Tendenci Affected by Authenticated Remote Code Execution via Pickle Deserialization,MODERATE,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,CVE-2026-23946,CWE-502; CWE-94,PyPI,tendenci,0,15.3.12,2026-01-21T16:38:15Z,2026-01-22T15:43:00Z
GHSA-33hj-rcmx-86mv,Undertow Servlets Vulnerable to Remote DoS via OutOfMemoryError when Passed Large Parameter Names,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVE-2024-4027,CWE-770,Maven,io.undertow:undertow-core,0,2.2.39.Final,2026-01-30T15:31:14Z,2026-02-25T20:20:29Z
GHSA-34wm-4hw7-qfjv,Feast vulnerable to Deserialization of Untrusted Data,HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CVE-2025-11157,CWE-502,PyPI,feast,0,0.54.0,2026-01-01T09:30:14Z,2026-01-02T15:54:13Z
GHSA-34x7-hfp2-rc4v,node-tar Vulnerable to Arbitrary File Creation/Overwrite via Hardlink Path Traversal,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:L/A:N,CVE-2026-24842,CWE-22; CWE-59,npm,tar,0,7.5.7,2026-01-28T16:35:31Z,2026-01-28T16:35:31Z
GHSA-3558-j79f-vvm6,Gin-vue-admin has arbitrary file upload vulnerability caused by path traversal,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N/E:P,CVE-2026-22786,CWE-22; CWE-434,Go,github.com/flipped-aurora/gin-vue-admin,0,,2026-01-13T19:15:13Z,2026-01-13T19:15:13Z
GHSA-3573-4c68-g8cc,Directus has open redirect in SAML,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,CVE-2026-22032,CWE-601,npm,directus,0,11.14.0,2026-01-06T19:22:38Z,2026-01-08T21:19:04Z
GHSA-36h5-vrq6-pp34,Jervis's Salt for PBKDF2 derived from password,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CVE-2025-68703,CWE-326,Maven,net.gleske:jervis,0,2.2,2026-01-13T14:53:50Z,2026-01-21T16:23:01Z
GHSA-36hm-qxxp-pg3m,Preact has JSON VNode Injection issue,HIGH,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N/E:U,CVE-2026-22028,CWE-843,npm,preact,10.26.5,10.26.10,2026-01-07T19:28:15Z,2026-01-08T21:19:13Z
GHSA-36j9-mx87-2cff,Renovate vulnerable to arbitrary command injection via hermit manager and maliciously named dependencies,MODERATE,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,CWE-77,npm,renovate,32.135.0,40.33.0,2026-01-13T20:28:41Z,2026-01-13T20:28:41Z
GHSA-36p8-mvp6-cv38,Wrangler affected by OS Command Injection in `wrangler pages deploy`,HIGH,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:H/VI:H/VA:H/SC:L/SI:L/SA:N,CVE-2026-0933,CWE-78,npm,wrangler,2.0.15,3.114.17,2026-01-21T23:00:35Z,2026-01-21T23:00:35Z
GHSA-379q-355j-w6rj,"pnpm v10+ Bypass ""Dependency lifecycle scripts execution disabled by default""",HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CVE-2025-69264,CWE-693,npm,pnpm,10.0.0,10.26.0,2026-01-07T19:07:43Z,2026-01-08T20:05:37Z
GHSA-37qj-frw5-hhjh,fast-xml-parser has RangeError DoS Numeric Entities Bug,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVE-2026-25128,CWE-20; CWE-248,npm,fast-xml-parser,5.0.9,5.3.4,2026-01-30T20:10:14Z,2026-02-11T23:13:02Z
GHSA-38cw-85xc-xr9x,Veramo is Vulnerable to SQL Injection in Veramo Data Store ORM,MODERATE,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,,CWE-89,npm,@veramo/data-store,0,6.0.2,2026-01-16T21:04:12Z,2026-01-16T21:04:12Z
GHSA-38jv-5279-wg99,Decompression-bomb safeguards bypassed when following HTTP redirects (streaming API),HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVE-2026-21441,CWE-409,PyPI,urllib3,1.22,2.6.3,2026-01-07T19:18:14Z,2026-01-23T16:05:21Z
GHSA-38vq-g6vr-w8wf,Sentencepiece has a a heap overflow issue,HIGH,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CVE-2026-1260,CWE-119,PyPI,sentencepiece,0,0.2.1,2026-01-22T18:30:39Z,2026-01-22T20:28:39Z
GHSA-393c-qgvj-3xph,Gitea does not properly validate repository ownership when deleting Git LFS locks,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,CVE-2026-20897,CWE-284,Go,github.com/go-gitea/gitea,0,1.25.4,2026-01-23T00:31:16Z,2026-01-23T20:14:46Z
GHSA-3966-f6p6-2qr9,Duplicate Advisory: npm cli Uncontrolled Search Path Element Local Privilege Escalation Vulnerability,HIGH,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,CVE-2026-0775,CWE-732,npm,npm,0,,2026-01-23T06:31:24Z,2026-02-06T22:28:42Z
GHSA-39h3-g67r-7g3c,ImageMagick releases an invalid pointer in BilateralBlur when memory allocation fails,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:H,CVE-2026-22770,CWE-763,NuGet,Magick.NET-Q8-x64,0,14.10.2,2026-01-20T17:25:31Z,2026-01-20T17:25:31Z
GHSA-3cgp-3xvw-98x8,React Router has XSS Vulnerability,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:L/A:N,CVE-2025-59057,CWE-79,npm,react-router,7.0.0,7.9.0,2026-01-08T20:42:20Z,2026-01-11T14:53:48Z
GHSA-3f44-xw83-3pmg,Renovate vulnerable to arbitrary command injection via helmv3 manager and malicious Chart.yaml file,MODERATE,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,CWE-77,npm,renovate,31.51.0,40.33.0,2026-01-13T20:29:12Z,2026-01-13T20:29:12Z
GHSA-3fm2-xfq7-7778,HAXcms Has Stored XSS Vulnerability that May Lead to Account Takeover,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:H,CVE-2026-22704,CWE-79,npm,@haxtheweb/haxcms-nodejs,11.0.6,25.0.0,2026-01-13T15:07:57Z,2026-01-13T15:09:35Z
GHSA-3g2f-4rjg-9385,Weblate leaks information via screenshots,LOW,CVSS:4.0/AV:N/AC:H/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:L/SI:N/SA:N,CVE-2026-21889,CWE-284,PyPI,weblate,0,5.15.2,2026-01-14T16:45:07Z,2026-01-14T19:50:09Z
GHSA-3ghg-3787-w2xr,Spree API has Unauthenticated IDOR - Guest Address,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CVE-2026-22589,CWE-639,RubyGems,spree_core,4.0.0,4.10.2,2026-01-08T21:28:04Z,2026-01-11T14:56:25Z
GHSA-3hmw-8mw3-rmpj,NocoDB has Unvalidated Redirect in Login Flow via continueAfterSignIn Parameter,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:P,CVE-2026-24768,CWE-601,npm,nocodb,0,0.301.0,2026-01-28T21:41:10Z,2026-01-28T21:41:10Z
GHSA-3j22-8qj3-26mx,Seroval affected by Denial of Service via Deeply Nested Objects,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVE-2026-24006,CWE-770,npm,seroval,0,1.4.1,2026-01-22T18:02:22Z,2026-01-22T18:02:22Z
GHSA-3jqf-v4mv-747g,Moonraker affected by LDAP search filter injection,LOW,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,CVE-2026-24130,CWE-90,PyPI,moonraker,0,0.10.0,2026-01-22T18:06:54Z,2026-01-23T15:49:23Z
GHSA-3pqc-836w-jgr7,Outray cli is vulnerable to race conditions in tunnels creation,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,CVE-2026-22820,CWE-367,npm,outray,0,0.1.5,2026-01-13T21:53:44Z,2026-01-21T16:17:07Z
GHSA-3qmm-r55x-hpxx,Apache Airflow secrets in rendered templates could contain parts of sensitive values when truncated,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CVE-2025-68438,CWE-200,PyPI,apache-airflow,3.1.0,3.1.6,2026-01-16T12:30:25Z,2026-01-16T20:59:54Z
GHSA-3rxj-6cgf-8cfw,seroval Affected by Remote Code Execution via JSON Deserialization,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,CVE-2026-23737,CWE-502,npm,seroval,0,1.4.1,2026-01-21T15:41:22Z,2026-01-22T15:39:49Z
GHSA-3v2x-9xcv-2v2v,SurrealDB Affected by Confused Deputy Privilege Escalation through Future Fields and Functions,HIGH,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,,CWE-441,crates.io,surrealdb,0,2.5.0,2026-01-22T18:06:15Z,2026-01-29T03:45:36Z
GHSA-3vhc-576x-3qv4,"Hono JWK Auth Middleware has JWT algorithm confusion when JWK lacks ""alg"" (untrusted header.alg fallback)",HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:N,CVE-2026-22818,CWE-347,npm,hono,0,4.11.4,2026-01-13T21:52:03Z,2026-01-13T21:52:03Z
GHSA-43mm-m3h2-3prc,File Browser Vulnerable to Username Enumeration via Timing Attack in /api/login,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,CVE-2026-23849,CWE-203; CWE-208,Go,github.com/filebrowser/filebrowser,0,,2026-01-21T01:02:17Z,2026-01-21T01:02:17Z
GHSA-43rr-x62x-q96w,MineAdmin improperly refreshes tokens,LOW,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,CVE-2026-1195,CWE-345,Packagist,mineadmin/mineadmin,1.0.0,,2026-01-20T03:30:28Z,2026-02-05T21:45:16Z
GHSA-444m-px7r-qpvv,weixin4j has Improperly Controlled Sequential Memory Allocation ,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:L/VI:N/VA:N/SC:L/SI:N/SA:N/AU:Y/R:A/V:D/RE:M/U:Amber,CVE-2026-24819,CWE-1325,Maven,com.foxinmy:weixin4j-base,0,,2026-01-27T09:30:30Z,2026-01-28T16:01:17Z
GHSA-4486-gxhx-5mg7,PsySH has Local Privilege Escalation via CWD .psysh.php auto-load,MODERATE,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,CVE-2026-25129,CWE-427,Packagist,psy/psysh,0.12.0,0.12.19,2026-01-30T21:28:44Z,2026-01-31T03:54:31Z
GHSA-44jg-mv3h-wj6g,solspace/craft-freeform Vulnerable to XSS in `PhpSpreadsheet` HTML Writer Due to Unsanitized Styling Data,LOW,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:A/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:P,,CWE-79,Packagist,solspace/craft-freeform,0,4.1.23,2026-01-15T22:40:42Z,2026-01-15T22:40:42Z
GHSA-45hj-9x76-wp9g,Outray has a Race Condition in the cli's webapp,MODERATE,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:H,CVE-2026-22819,CWE-366,npm,outray,0,0.1.5,2026-01-13T21:53:30Z,2026-01-14T19:50:51Z
GHSA-4c4x-jm2x-pf9j,Rekor affected by Server-Side Request Forgery (SSRF) via provided public key URL,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,CVE-2026-24117,CWE-918,Go,github.com/sigstore/rekor,0,1.5.0,2026-01-22T18:41:26Z,2026-01-23T15:49:13Z
GHSA-4c5f-9mj4-m247,flagd: Multiple Go Runtime CVEs Impact Security and Availability,HIGH,,,CWE-20; CWE-362; CWE-400; CWE-407; CWE-444; CWE-770,Go,github.com/open-feature/flagd/core,0,0.13.1,2026-01-05T15:07:05Z,2026-01-05T15:07:46Z
GHSA-4f6g-68pf-7vhv,pypdf has possible long runtimes for malformed startxref,LOW,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N/E:U,CVE-2026-22691,CWE-1333; CWE-400,PyPI,pypdf,0,6.6.0,2026-01-09T19:48:57Z,2026-01-11T14:53:40Z
GHSA-4fqp-r85r-hxqh,Copier safe template has arbitrary filesystem write access via directory symlinks when _preserve_symlinks: true ,MODERATE,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:H,CVE-2026-23986,CWE-61,PyPI,copier,0,9.11.2,2026-01-21T22:19:29Z,2026-02-02T16:33:53Z
GHSA-4gpc-rhpj-9443,Lobe Chat affected by Cross-Site Scripting(XSS) that can escalate to Remote Code Execution(RCE),CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,CVE-2026-23733,CWE-94,npm,@lobehub/chat,0,,2026-01-20T17:54:49Z,2026-02-05T13:40:47Z
GHSA-4h3h-63v6-88qx,ESPHome vulnerable to denial-of-service via out-of-bounds check bypass in the API component,MODERATE,CVSS:4.0/AV:A/AC:L/AT:N/PR:H/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,CVE-2026-23833,CWE-190,PyPI,esphome,2025.9.0,2025.12.7,2026-01-21T01:02:49Z,2026-01-21T01:02:49Z
GHSA-4j78-4xrm-cr2f,Kirby is missing permission checks in the content changes API,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:A/VC:N/VI:H/VA:L/SC:N/SI:N/SA:N,CVE-2026-21896,CWE-863,Packagist,getkirby/cms,5.0.0,5.2.2,2026-01-08T20:32:05Z,2026-01-08T20:32:05Z
GHSA-4jrw-64vr-7g8m,Apache Camel camel-neo4j component is vulnerable to cypher injection,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,CVE-2025-66169,CWE-74; CWE-89; CWE-943,Maven,org.apache.camel:camel-neo4j,4.10.0,4.10.8,2026-01-14T12:31:38Z,2026-01-15T22:33:18Z
GHSA-4r5r-ccr6-q6f6,Fleet has an Access Control vulnerability in debug/pprof endpoints,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:H/SC:N/SI:N/SA:N,CVE-2026-23517,CWE-862; CWE-863,Go,github.com/fleetdm/fleet,4.78.0,4.78.3,2026-01-20T20:55:14Z,2026-02-27T22:03:20Z
GHSA-4wg4-p27p-5q2r,"Pimcore Web2Print Tools Bundle ""Favourite Output Channel Configuration"" Missing Function Level Authorization",MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,CVE-2026-23496,CWE-284,Packagist,pimcore/web2print-tools-bundle,6.0.0-RC1,6.1.1,2026-01-15T18:14:17Z,2026-01-15T20:18:09Z
GHSA-4xc4-762w-m6cg,pypdf has possible long runtimes for missing /Root object with large /Size values,LOW,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N/E:U,CVE-2026-22690,CWE-400,PyPI,pypdf,0,6.6.0,2026-01-09T19:48:22Z,2026-01-11T14:53:34Z
GHSA-4xc5-wfwc-jw47,Typebot affected by Credential Theft via Client-Side Script Execution and API Authorization Bypass,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N,CVE-2025-65098,CWE-79,npm,@typebot.io/js,0,0.9.15,2026-01-22T18:02:12Z,2026-01-22T18:02:12Z
